,codmpio,ano,subsidiado,contributivo,especial,nacimientos,naci_bajopeso,defunciones,defun_ninez,defun_menores,TMI,sedes,prestadores,tacued,turbacued,truracued,taseo,turbaseo,truraseo,talcan,turbalcan,truralcan,uee_cm_sin,uee_resto_sin,ueetot_sin,uee_subn_sin,uee_cm_zni,uee_resto_zni,ueetot_zni,uee_cm,uee_resto,tot_uee,icee_tot,icee_cm,icee_resto,catastro,g_ures_ani,g_ures_con,g_u_tot,cob_gres_pot,cob_gres_efec
0,5001.0,1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5001.0,1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5001.0,1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5001.0,1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5001.0,1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5001.0,1998-01-01,216459.0,,,37877.0,3266.0,12139.0,113.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5001.0,1999-01-01,223459.0,,,38306.0,3373.0,12871.0,119.0,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5001.0,2000-01-01,224868.0,,,36610.0,3300.0,12367.0,88.0,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5001.0,2001-01-01,231613.0,,,35488.0,3358.0,12604.0,97.0,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5001.0,2002-01-01,240640.0,,,33547.0,3303.0,12927.0,90.0,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5001.0,2003-01-01,248661.0,,,34058.0,3302.0,12071.0,90.0,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5001.0,2004-01-01,467519.0,,,33615.0,3471.0,11512.0,69.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5001.0,2005-01-01,1090119.0,,,33515.0,3488.0,11238.0,66.0,412.0,14.0,,,97.4076173518713,97.71719517389222,78.50900852303376,87.56,89.22,13.02,96.80077481099202,97.34058627984285,63.84723271118783,,,,,,,,,,,,,,,,,,,
13,5001.0,2006-01-01,1072494.0,,,33655.0,3483.0,11822.0,82.0,374.0,13.94,,,,,,,,,,,,,,,,,,,,,,,,,594553.0,353077.0,160230.0,162456.0,59.385284423828125,26.949657440185547
14,5001.0,2007-01-01,872727.0,,,33781.0,3428.0,11776.0,66.0,394.0,13.87,,,,,,,,,,,,,,,,,,,,,,,,,594553.0,443241.0,211132.0,213973.0,74.55029296875,35.51104736328125
15,5001.0,2008-01-01,872727.0,,,33228.0,3578.0,12329.0,90.0,381.0,13.81,,,84.3,86.0,7.59,87.27,89.37,26.21,80.64,82.3,5.97,,,,,,,,,,,,,,1778.0,1758.0,1793.0,1845.0,98.87513732910156,100.84364318847656
16,5001.0,2009-01-01,693129.0,1535192.0,,31893.0,3560.0,13017.0,69.0,333.0,13.75,,,87.42,89.83,17.12,88.4,90.46,29.32,83.47,85.75,17.05,,,,,,,,,,,,,,594553.0,531670.0,7552.0,11933.0,89.4234848022461,1.2701979875564575
17,5001.0,2010-01-01,707128.0,1568377.0,,28587.0,3133.0,13096.0,71.0,275.0,13.69,87.0,11.0,91.93,92.95,62.83,87.5,89.24,23.86,86.27,88.54,21.22,,,,,,,,,,,,,,594553.0,547878.0,343769.0,348618.0,92.14956665039062,57.819740295410156
18,5001.0,2011-01-01,581390.0,1656522.0,25377.0,27675.0,2878.0,12472.0,50.0,260.0,13.543017103929927,87.0,11.0,91.75,92.62,59.73,87.05,88.95,24.72,86.68,88.6,16.63,,,714383.0,0.0,,,0.0,677380.0,37003.0,714383.0,100.0,100.0,100.0,594553.0,607380.0,396324.0,402396.0,102.15741729736328,66.6591567993164
19,5001.0,2012-01-01,598362.0,1669103.0,27307.0,27816.0,2899.0,12196.0,45.0,261.0,12.581929095394282,91.0,13.0,92.66,93.07,79.16,88.49,90.01,35.34,86.89,88.85,22.58,709539.0,38496.0,748035.0,0.0,0.0,0.0,0.0,709539.0,38496.0,748035.0,100.0,100.0,100.0,669933.0,645522.0,448959.0,456555.0,96.356201171875,67.01551055908203
20,5001.0,2013-01-01,601623.0,1680805.0,26689.0,27565.0,2805.0,12108.0,42.0,256.0,11.65876976905105,91.0,13.0,96.69,97.07,83.23,87.68,89.47,24.33,90.27,91.99,30.09,722320.0,39898.0,762218.0,0.0,0.0,0.0,0.0,722320.0,39898.0,762218.0,100.0,100.0,100.0,669933.0,670009.0,490371.0,498930.0,100.01134490966797,73.197021484375
21,5001.0,2014-01-01,539029.0,1725425.0,37332.0,,,,,,,97.0,13.0,94.89,95.45,75.0,89.55,91.57,23.03,91.09,92.88,27.76,765104.0,15140.0,780244.0,0.0,0.0,0.0,0.0,765104.0,15140.0,780244.0,100.0,100.0,100.0,669933.0,691858.0,521703.0,531225.0,103.27271270751953,77.87390899658203
22,5001.0,2015-01-01,,1802793.0,41855.0,,,,,,,98.0,13.0,95.81,96.52,72.28,,,,90.22,92.52,14.46,,,,,,,,,,,,,,669933.0,714450.0,547951.0,557858.0,106.6449966430664,81.79190826416016
23,5002.0,1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5002.0,1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5002.0,1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5002.0,1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5002.0,1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5002.0,1998-01-01,7220.0,,,456.0,51.0,142.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5002.0,1999-01-01,7220.0,,,464.0,41.0,149.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5002.0,2000-01-01,7220.0,,,487.0,39.0,163.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
